symbole,signaux,remplis,exp_global,wr_global,pf_global,monotone,delta_haut_bas,p_value,delta_ajuste_heure,date,exp_A+,n_A+,exp_A,n_A,exp_B,n_B,exp_C,n_C
XAUUSD,2166,815,0.14459577924479236,0.3889570552147239,1.2508558572769004,False,0.07877546063981927,0.3558813728757081,-0.4553151749975291,2026-07-20 03:38,0.061481988156834776,242,0.15979505814089914,376,0.27726460631596705,147,0.042521599222530376,50
US30,2235,1009,-0.0014062430780448847,0.33002973240832506,0.9978534501928534,False,0.0015516411432523365,0.5168277240919693,-0.09909457285314299,2026-07-20 03:38,0.1155994455614137,318,-0.10765492427746526,441,0.055755644036564904,185,-0.015669161456602312,65
USDJPY,2063,781,0.010631931506651078,0.3559539052496799,1.0179301676478592,False,0.07623170852924364,0.344218593802066,0.07292278523425272,2026-07-20 03:38,0.04927347210618911,244,-0.01281178538587633,304,0.025317208484631874,167,-0.06139969313398135,66
CADJPY,2087,784,0.009403875109946721,0.3635204081632653,1.0159899673933808,False,-0.1829504657549097,0.8557147617460846,-0.05729674878351577,2026-07-20 03:38,0.06261479545189597,226,-0.03186763537858649,312,-0.06220805895269872,173,0.1907724760411727,73
USDCAD,2138,928,0.018845442839249556,0.35021551724137934,1.0308302462633503,False,-0.1884688500632437,0.8273908697100967,-0.7399352354638793,2026-07-20 03:38,0.02029460341110929,310,-0.07850308015890001,373,0.16823394566376057,190,0.15480805673699802,55
