i,time,heure,sens,phase,score,grade,entry,sl,tp,risque,atr,f_fib,f_kijun,f_rsi,f_fvg,f_ob,f_rr,rempli,bar_fill,resultat_R
120,2025-09-12 08:50:00,8,1,MARKUP,1,C,46111.125,46089.152835898276,46166.05541025431,21.972164101724047,7.654328203456286,0,1,0,0,0,1,True,122,-1.0
132,2025-09-12 09:50:00,9,-1,MARKDOWN,1,C,46110.1492,46145.81785251136,46020.977568721595,35.66865251136187,10.675705022721742,0,1,0,0,0,1,False,-1,
144,2025-09-12 10:50:00,10,-1,MARKDOWN,1,C,46102.9867,46147.48146231115,45991.74979422212,44.494762311151135,14.002924622301386,0,1,0,0,0,1,False,-1,
156,2025-09-12 11:50:00,11,-1,MARKDOWN,2,C,46084.650700000006,46147.7582452068,45926.88183698301,63.1075452067962,14.556490413596643,0,1,1,0,0,1,False,-1,
170,2025-09-12 13:00:00,13,-1,MARKDOWN,2,C,46080.633700000006,46139.660944845185,45933.06558788706,59.027244845179666,11.36188969036901,0,1,1,0,0,1,False,-1,
182,2025-09-12 14:00:00,14,-1,MARKDOWN,2,C,46073.279500000004,46127.394886425805,45937.9910339355,54.11538642580126,10.629772851610998,0,1,1,0,0,1,False,-1,
194,2025-09-12 15:00:00,15,-1,MARKDOWN,2,C,46062.310000000005,46110.38053120265,45942.13367199339,48.070531202647544,12.101062405304672,0,1,1,0,0,1,True,207,0.5
214,2025-09-12 16:40:00,16,-1,MARKDOWN,3,B,46042.981,46092.177485141234,45919.989787146915,49.19648514123401,26.19497028246961,0,1,1,0,1,1,True,216,1.75
226,2025-09-12 17:40:00,17,-1,MARKDOWN,3,B,46021.5025,46094.96179295614,45837.854267609655,73.45929295614042,31.36358591229441,0,1,1,1,0,1,False,-1,
238,2025-09-12 18:40:00,18,-1,MARKDOWN,2,C,46008.227999999996,46093.481401264864,45795.094496837824,85.25340126486844,28.402802529723424,0,1,0,1,0,1,False,-1,
250,2025-09-12 19:40:00,19,-1,MARKDOWN,2,C,46007.273,46091.84225108107,45795.84987229733,84.56925108106952,25.124502162144275,0,1,1,0,0,1,False,-1,
262,2025-09-12 20:40:00,20,-1,MARKDOWN,2,C,46007.273,46089.77190862999,45801.025728425026,82.49890862999018,20.983817259987557,0,1,1,0,0,1,False,-1,
406,2025-09-15 09:40:00,9,1,MARKUP,3,B,45875.3317,45848.38098982706,45942.70847543235,26.95071017293958,8.558020345886703,0,1,1,1,0,1,True,422,-1.0
418,2025-09-15 10:40:00,10,1,MARKUP,0,C,45880.2192,45849.46184456012,45957.11258859969,30.757355439876847,11.396310879766443,0,0,0,0,0,1,True,422,-1.0
430,2025-09-15 11:40:00,11,1,MARKUP,2,C,45874.5497,45823.703710523456,46001.66467369137,50.8459894765474,18.91257895309512,0,1,1,0,0,1,False,-1,
446,2025-09-15 13:00:00,13,1,MARKUP,2,C,45878.0832,45826.669596133885,46006.61720966529,51.41360386611632,12.980807732232874,0,1,1,0,0,1,False,-1,
469,2025-09-15 14:55:00,14,1,MARKUP,2,C,45878.0832,45827.775732068796,46003.85186982801,50.30746793120488,10.768535862411586,0,1,1,0,0,1,True,488,0.5
481,2025-09-15 15:55:00,15,1,MARKUP,2,C,45878.0832,45826.809505996236,46006.26743500942,51.27369400376483,12.700988007533878,0,1,1,0,0,1,True,488,0.5
493,2025-09-15 16:55:00,16,1,MARKUP,3,B,45865.909,45794.86257167758,46043.52507080605,71.04642832242098,31.69485664483706,0,1,1,1,1,1,True,494,0.5
505,2025-09-15 17:55:00,17,1,MARKUP,1,C,45878.133,45791.9961394179,46093.47515145526,86.13686058210442,37.4277211642087,0,1,0,0,0,1,True,510,-1.0
517,2025-09-15 18:55:00,18,-1,MARKDOWN,1,C,45907.0855,46005.41183543936,45661.26966140161,98.32633543935663,36.40367087871383,0,1,0,0,0,1,False,-1,
529,2025-09-15 19:55:00,19,-1,MARKDOWN,2,C,45907.0855,46001.983163492114,45669.84134126972,94.89766349211277,29.54632698422292,0,1,1,0,0,1,False,-1,
662,2025-09-16 08:00:00,8,1,MARKUP,1,C,45893.765499999994,45861.872876309964,45973.49705922507,31.892623690029723,6.294247380066169,0,1,0,0,0,1,False,-1,
674,2025-09-16 09:00:00,9,1,MARKUP,1,C,45903.4395,45867.88708502244,45992.3205374439,35.55241497755924,8.265829955107186,0,1,0,0,0,1,True,685,0.7811351188185442
