i,time,heure,sens,phase,score,grade,entry,sl,tp,risque,atr,f_fib,f_kijun,f_rsi,f_fvg,f_ob,f_rr,rempli,bar_fill,resultat_R
105,2025-09-29 11:35:00,11,-1,MARKDOWN,6,A+,1.39242138,1.3931062835401722,1.3907091211495697,0.0006849035401721437,0.0002925670803443416,0,1,1,1,1,1,False,-1,
122,2025-09-29 13:00:00,13,-1,MARKDOWN,4,B,1.39242138,1.3930744827239556,1.3907886231901112,0.0006531027239555787,0.00022896544791148086,0,0,1,0,1,1,True,132,-1.0
143,2025-09-29 14:45:00,14,1,MARKUP,6,A+,1.39228344,1.3914118657688517,1.3944623755778704,0.0008715742311482533,0.00027626846229695395,0,1,1,1,1,1,False,-1,
155,2025-09-29 15:45:00,15,1,MARKUP,5,A,1.39247826,1.3913837953478139,1.3952144216304656,0.0010944646521862111,0.0003324093043723591,0,1,1,0,1,1,False,-1,
167,2025-09-29 16:45:00,16,1,MARKUP,4,B,1.39250916,1.3913921126872917,1.3953017782817705,0.0011170473127082303,0.00041577462541633856,1,0,0,1,0,1,True,180,-1.0
189,2025-09-29 18:35:00,18,-1,MARKDOWN,6,A+,1.39287984,1.3941968762030736,1.3895872494923158,0.0013170362030736626,0.00043375240614718015,0,1,1,1,1,1,False,-1,
201,2025-09-29 19:35:00,19,-1,MARKDOWN,5,A,1.3925857,1.3941798304059514,1.3886003739851214,0.001594130405951466,0.0003996608119029187,0,1,0,1,1,1,False,-1,
213,2025-09-29 20:35:00,20,-1,MARKDOWN,3,C,1.39257334,1.3941321507616051,1.3886763130959872,0.0015588107616051339,0.00034430152321043806,0,0,0,0,1,1,False,-1,
350,2025-09-30 08:00:00,8,-1,MARKDOWN,5,A,1.3919930600000001,1.3925492285093628,1.3906026387265933,0.0005561685093626867,0.000218457018725527,0,1,0,1,1,1,True,362,1.288649639503812
363,2025-09-30 09:05:00,9,-1,MARKDOWN,6,A+,1.39186946,1.3923565594811036,1.3906517112972407,0.00048709948110370327,0.00023311896220719534,0,1,1,1,1,1,True,382,-1.0
375,2025-09-30 10:05:00,10,-1,MARKDOWN,5,A,1.39154812,1.3921888092294004,1.389946396926499,0.0006406892294004152,0.00025761845880044424,1,0,0,1,1,1,True,382,-1.0
387,2025-09-30 11:05:00,11,-1,MARKDOWN,6,A+,1.39178296,1.3926101714892465,1.3897149312768837,0.000827211489246471,0.0003403429784925712,0,1,1,1,1,1,False,-1,
410,2025-09-30 13:00:00,13,-1,MARKDOWN,4,B,1.39174858,1.3925755446054766,1.3896811684863084,0.0008269646054765989,0.0002710892109530428,0,0,1,0,1,1,True,418,-1.0
423,2025-09-30 14:05:00,14,1,MARKUP,6,A+,1.3913214200000001,1.3905136133693978,1.393340936576506,0.0008078066306023146,0.00023277326120454384,0,1,1,1,1,1,False,-1,
435,2025-09-30 15:05:00,15,1,MARKUP,6,A+,1.3913558000000001,1.3905010306620096,1.3934927233449765,0.0008547693379905574,0.00025793867598078847,0,1,1,1,1,1,True,454,-1.0
447,2025-09-30 16:05:00,16,1,MARKUP,5,A,1.3913558000000001,1.390480228003853,1.3935447299903678,0.0008755719961470732,0.0002995439922937398,0,1,1,0,1,1,True,454,-1.0
461,2025-09-30 17:15:00,17,-1,MARKDOWN,5,A,1.39193624,1.3931812340124057,1.3888237549689855,0.0012449940124057424,0.00044246802481135046,0,1,1,1,0,1,True,470,-1.0
475,2025-09-30 18:25:00,18,1,MARKUP,6,A+,1.39090206,1.3893747406276749,1.3947203584308125,0.0015273193723250866,0.0005105187446500509,0,1,1,1,1,1,False,-1,
487,2025-09-30 19:25:00,19,1,MARKUP,5,A,1.39115036,1.389408823772683,1.3955042005682925,0.0017415362273169865,0.00044235245463412627,0,1,0,1,1,1,False,-1,
499,2025-09-30 20:25:00,20,1,MARKUP,3,C,1.39115036,1.389453202063036,1.39539325484241,0.001697157936964011,0.00035359587392798435,0,0,0,0,1,1,False,-1,
643,2025-10-01 08:25:00,8,-1,MARKDOWN,5,A,1.39249488,1.393443796980513,1.390122587548718,0.0009489169805128039,0.00024759396102565874,0,1,0,1,1,1,False,-1,
655,2025-10-01 09:25:00,9,-1,MARKDOWN,6,A+,1.39249488,1.393444020004651,1.390122029988373,0.0009491400046508502,0.00024804000930146427,0,1,1,1,1,1,True,668,0.765618423235285
674,2025-10-01 11:00:00,11,-1,MARKDOWN,4,B,1.3923153400000001,1.3935102206190235,1.3893281384524416,0.0011948806190233974,0.0003804412380468582,0,1,1,0,0,1,True,691,-1.0
698,2025-10-01 13:00:00,13,1,MARKUP,4,B,1.39154568,1.3905450525947853,1.3940472485130364,0.0010006274052145603,0.0002898948104291037,0,1,0,1,0,1,False,-1,
710,2025-10-01 14:00:00,14,1,MARKUP,5,A,1.39183982,1.3905426126999316,1.3950828382501708,0.001297207300068326,0.0002947746001367148,0,1,0,1,1,1,True,725,0.5
722,2025-10-01 15:00:00,15,1,MARKUP,4,B,1.3920314,1.390860796718545,1.3949579082036379,0.0011706032814551293,0.0002784065629102729,0,0,1,1,0,1,True,725,0.5
736,2025-10-01 16:10:00,16,1,MARKUP,6,A+,1.39229096,1.3911611312843877,1.3951155317890307,0.001129828715612291,0.000517737431225054,0,1,1,1,1,1,False,-1,
748,2025-10-01 17:10:00,17,1,MARKUP,6,A+,1.39235624,1.3911949989326913,1.3952593426682718,0.0011612410673087492,0.000550002134617546,0,1,1,1,1,1,False,-1,
760,2025-10-01 18:10:00,18,1,MARKUP,5,A,1.39276116,1.3911720622938721,1.3967339042653197,0.0015890977061279177,0.0005958754122556548,0,1,1,0,1,1,False,-1,
772,2025-10-01 19:10:00,19,1,MARKUP,6,A+,1.39308586,1.391240784950821,1.3976985476229475,0.001845075049178968,0.0004584300983580466,0,1,1,1,1,1,False,-1,
784,2025-10-01 20:10:00,20,1,MARKUP,4,B,1.39308586,1.3912923381270434,1.3975696646823914,0.0017935218729565605,0.0003553237459131903,0,0,0,1,1,1,False,-1,
926,2025-10-02 08:00:00,8,1,MARKUP,6,A+,1.3939727800000001,1.3933896521366778,1.395430599658306,0.0005831278633223747,0.00018069572664439098,0,1,1,1,1,1,True,939,-1.0
953,2025-10-02 10:15:00,10,-1,MARKDOWN,5,A,1.3942697,1.3950199400584014,1.3923940998539965,0.000750240058401408,0.00023988011680250716,0,1,0,1,1,1,False,-1,
965,2025-10-02 11:15:00,11,-1,MARKDOWN,5,A,1.3942697,1.3950313479569312,1.392365580107672,0.0007616479569312329,0.0002626959138620882,0,1,1,0,1,1,False,-1,
995,2025-10-02 13:45:00,13,-1,MARKDOWN,5,A,1.39400396,1.3945872065828213,1.3925458435429467,0.000583246582821273,0.0002344131656423422,0,1,1,0,1,1,True,999,-1.0
1007,2025-10-02 14:45:00,14,1,MARKUP,6,A+,1.39376188,1.3931253241576165,1.395353269605959,0.0006365558423835349,0.0002493516847670929,0,1,1,1,1,1,False,-1,
1019,2025-10-02 15:45:00,15,1,MARKUP,6,A+,1.394084,1.3931829446876922,1.3963366382807698,0.0009010553123078857,0.00027411062461593785,0,1,1,1,1,1,True,1023,1.75
1031,2025-10-02 16:45:00,16,1,MARKUP,6,A+,1.39433792,1.3931680490951734,1.397262597262066,0.0011698709048264533,0.00038390180965315666,0,1,1,1,1,1,False,-1,
1043,2025-10-02 17:45:00,17,1,MARKUP,6,A+,1.3950098,1.393302826586348,1.3992772335341297,0.001706973413651891,0.0004343468273041827,0,1,1,1,1,1,False,-1,
1055,2025-10-02 18:45:00,18,1,MARKUP,5,A,1.3954491,1.3933284308365677,1.4007507729085809,0.0021206691634323427,0.0003831383268647303,0,1,0,1,1,1,False,-1,
1067,2025-10-02 19:45:00,19,1,MARKUP,4,B,1.39579484,1.3938456216810382,1.4006678857974044,0.0019492183189617762,0.0003687566379234722,0,0,0,1,1,1,False,-1,
1214,2025-10-03 08:00:00,8,1,MARKUP,5,A,1.39643088,1.3960505329992214,1.3973817475019465,0.0003803470007786025,0.00011893400155706642,0,1,0,1,1,1,True,1227,-1.0
1242,2025-10-03 10:20:00,10,-1,MARKDOWN,6,A+,1.39655654,1.3970554611802175,1.3953092370494562,0.0004989211802175486,0.00021092236043504558,0,1,1,1,1,1,True,1258,0.589279774213231
1254,2025-10-03 11:20:00,11,-1,MARKDOWN,4,B,1.3964916,1.397064993160263,1.3950581170993428,0.0005733931602629472,0.00022998632052612168,0,0,0,1,1,1,True,1257,1.3555910011033947
1278,2025-10-03 13:20:00,13,1,MARKUP,6,A+,1.39618548,1.3956486027605035,1.3975276730987412,0.0005368772394964694,0.00020279447899295328,0,1,1,1,1,1,True,1302,-1.0
1290,2025-10-03 14:20:00,14,1,MARKUP,2,C,1.39619694,1.3956603330537585,1.397538457365604,0.0005366069462415801,0.00017933389248293128,0,0,0,0,0,1,True,1302,-1.0
1305,2025-10-03 15:35:00,15,-1,MARKDOWN,5,A,1.39647306,1.397040001372122,1.3950557065696947,0.0005669413721220984,0.00024000274424421168,0,1,0,1,1,1,False,-1,
1317,2025-10-03 16:35:00,16,-1,MARKDOWN,6,A+,1.3961789199999999,1.3970907215636394,1.393899416090901,0.0009118015636395693,0.0003414431272790075,1,0,1,1,1,1,False,-1,
1329,2025-10-03 17:35:00,17,-1,MARKDOWN,3,C,1.39594972,1.3971526150586524,1.392942482353369,0.0012028950586524534,0.0004652301173048406,0,0,0,0,1,1,False,-1,
1341,2025-10-03 18:35:00,18,-1,MARKDOWN,5,A,1.39594972,1.3971127409633317,1.3930421675916707,0.0011630209633317623,0.00038548192666368585,0,1,0,1,1,1,False,-1,
