symbole,signaux,remplis,exp_global,wr_global,pf_global,monotone,delta_haut_bas,p_value,delta_ajuste_heure,date,exp_A,n_A,exp_B,n_B,exp_C,n_C
XAUUSD,2097,804,0.07679009433291648,0.5323383084577115,1.1705160510030888,False,-0.6443998549756157,0.9696767744085305,,2026-07-20 03:52,-0.5277777777777778,9,-0.042319229036200376,165,0.11662207719783793,630
US30,2180,995,0.041997097108094426,0.5135678391959799,1.0883425964540183,False,-0.18999282299319184,0.7070976341219594,,2026-07-20 03:52,-0.15365758650788347,10,0.08312703493005395,161,0.03633523648530836,824
USDJPY,1980,777,0.030000712998337484,0.510939510939511,1.064741829398941,False,-0.684535207675858,0.9903365544818394,,2026-07-20 03:52,-0.6566533597063023,11,0.09030528614505193,147,0.027881847969555614,619
CADJPY,2018,762,0.013681176018542823,0.5065616797900262,1.0292655152733403,False,-0.4826701540386468,0.9046984338553815,,2026-07-20 03:52,-0.45245910578457926,8,-0.026505844026196684,154,0.030211048254067587,600
USDCAD,2088,928,0.00782588541095271,0.509698275862069,1.016687387365109,True,0.31508075460775853,0.13262245918027324,,2026-07-20 03:52,0.2964010935112351,12,0.09959407812873074,176,-0.018679661096523397,740
