symbole,signaux,remplis,exp_global,wr_global,pf_global,monotone,delta_haut_bas,p_value,delta_ajuste_heure,date,exp_A+,n_A+,exp_A,n_A,exp_B,n_B,exp_C,n_C
XAUUSD,2166,814,0.10253941183161619,0.5503685503685504,1.2363249329937813,False,-0.004640302302155605,0.5078307230923026,-0.2352027377909419,2026-07-20 03:52,0.07552252725892553,242,0.1022406537015876,376,0.15018642421523648,146,0.09641851814108265,50
US30,2235,1009,0.033331927152556826,0.5074331020812686,1.0692158913201502,False,0.023513738088845933,0.44518493835388206,0.1379900413006255,2026-07-20 03:52,0.10046903583419581,318,-0.03799519050584443,441,0.10089673667950536,185,-0.003496248784238723,65
USDJPY,2064,781,0.014084967157414703,0.5032010243277849,1.0301879652778452,False,0.01211597393762458,0.46384538487170945,-0.08987225287521033,2026-07-20 03:52,0.0406887214160288,244,-0.016183465491729835,304,0.03705720219747547,167,-0.0029767868645859757,66
CADJPY,2086,786,0.04426928991219161,0.5190839694656488,1.0976517029310033,True,0.02167750413131526,0.4335221592802399,0.2647976410494737,2026-07-20 03:52,0.05144517442643879,226,0.0441237082094655,314,0.04307486025393639,173,0.025510373272661296,73
USDCAD,2139,929,0.01078501163770162,0.5102260495156081,1.0231744730812506,False,-0.002014013757261399,0.5211596134621793,-0.24878216423348012,2026-07-20 03:52,-0.0056615366258515355,311,0.007933842314724512,373,0.045334433103434615,190,0.00376633143672399,55
