i,time,heure,sens,phase,score,grade,entry,sl,tp,risque,atr,f_fib,f_kijun,f_rsi,f_fvg,f_ob,f_rr,rempli,bar_fill,resultat_R
1069,2025-10-02 19:45:00,19,1,MARKUP,0,C,147.03814,146.7155647151591,147.84457821210225,0.3225752848408945,0.05687056968176312,0,0,0,0,0,1,False,-1,
1216,2025-10-03 08:00:00,8,1,MARKUP,2,C,147.405762,147.16161428868793,148.01613127828023,0.24414771131208113,0.036771422624136595,0,1,1,0,0,1,False,-1,
1228,2025-10-03 09:00:00,9,1,MARKUP,2,C,147.423334,147.1483060553748,148.11090386156303,0.27502794462520797,0.0633878892504285,0,1,1,0,0,1,True,1251,-1.0
1276,2025-10-03 13:00:00,13,-1,MARKDOWN,2,C,147.612248,147.84015251239853,147.04248671900365,0.22790451239853837,0.046305024797022996,0,1,1,0,0,1,False,-1,
1288,2025-10-03 14:00:00,14,-1,MARKDOWN,0,C,147.581348,147.78673523083685,147.06787992290782,0.2053872308368625,0.03947046167374313,0,0,0,0,0,1,False,-1,
1300,2025-10-03 15:00:00,15,-1,MARKDOWN,0,C,147.506988,147.7062867544104,147.00874111397403,0.19929875441039258,0.04257350882081779,0,0,0,0,0,1,False,-1,
1312,2025-10-03 16:00:00,16,-1,MARKDOWN,1,C,147.356196,147.46939938688564,147.07318753278594,0.1132033868856297,0.05679877377126327,0,0,0,0,1,1,True,1323,2.5
1355,2025-10-03 19:35:00,19,1,MARKUP,2,C,147.22235999999998,147.0121392799145,147.7479118002137,0.21022072008548776,0.05372144017100445,0,1,1,0,0,1,False,-1,
1367,2025-10-03 20:35:00,20,1,MARKUP,1,C,147.22847199999998,147.01841456462049,147.75361558844872,0.21005743537949684,0.0411708707590182,0,1,0,0,0,1,False,-1,
1504,2025-10-06 08:00:00,8,1,MARKUP,1,C,149.792272,149.41316147160137,150.74004832099655,0.3791105283986269,0.07367705679722301,0,1,0,0,0,1,False,-1,
1516,2025-10-06 09:00:00,9,1,MARKUP,1,C,149.912228,149.5466674878049,150.82612928048772,0.36556051219508845,0.07866502439020918,0,1,0,0,0,1,False,-1,
1543,2025-10-06 11:15:00,11,1,MARKUP,2,C,150.077852,149.8030166482649,150.76494037933776,0.2748353517351063,0.10196670347021707,0,1,1,0,0,1,False,-1,
1564,2025-10-06 13:00:00,13,1,MARKUP,1,C,150.152168,149.9173720689439,150.7391578276402,0.23479593105608387,0.06925586211219399,0,1,0,0,0,1,True,1588,0.5
1576,2025-10-06 14:00:00,14,1,MARKUP,1,C,150.152168,149.9210406556869,150.72998636078268,0.23112734431308013,0.0619186886261826,0,0,1,0,0,1,True,1588,0.5
1612,2025-10-06 17:00:00,17,-1,MARKDOWN,1,C,150.199814,150.52089112492158,149.3971211876961,0.3210771249215725,0.08978224984315383,0,1,0,0,0,1,False,-1,
1624,2025-10-06 18:00:00,18,-1,MARKDOWN,1,C,150.17200400000002,150.47302510393817,149.41945124015461,0.3010211039381545,0.08405020787634324,0,0,1,0,0,1,True,1647,-1.0
1637,2025-10-06 19:05:00,19,-1,MARKDOWN,1,C,150.157172,150.43917914011348,149.4521541497163,0.28200714011347827,0.0643582802269139,0,0,1,0,0,1,True,1644,-1.0
1649,2025-10-06 20:05:00,20,1,MARKUP,1,C,149.91382199999998,149.72889302457932,150.37614443855165,0.1849289754206609,0.04821395084131302,0,1,0,0,0,1,False,-1,
1796,2025-10-07 08:20:00,8,1,MARKUP,3,B,150.496108,150.39970704637489,150.73711038406276,0.09640095362510692,0.044585907250232544,1,1,1,0,0,1,True,1797,1.0338246663607902
1808,2025-10-07 09:20:00,9,1,MARKUP,2,C,150.412496,150.21894681521442,150.89636896196396,0.19354918478558147,0.06010636957116861,0,1,1,0,0,1,False,-1,
1820,2025-10-07 10:20:00,10,1,MARKUP,1,C,150.42586599999998,150.2199647978672,150.94061900533197,0.20590120213279306,0.058070404265625285,0,1,0,0,0,1,False,-1,
1832,2025-10-07 11:20:00,11,1,MARKUP,2,C,150.42586599999998,150.22222172178547,150.93497669553625,0.2036442782145116,0.05355655642902867,0,1,1,0,0,1,False,-1,
1852,2025-10-07 13:00:00,13,1,MARKUP,2,C,150.583182,150.4071200231669,151.02333694208272,0.17606197683309688,0.04575995366619744,0,1,1,0,0,1,False,-1,
1864,2025-10-07 14:00:00,14,1,MARKUP,2,C,150.641892,150.50419574231464,150.98613264421346,0.13769625768537708,0.04160851537074369,0,1,1,0,0,1,False,-1,
1876,2025-10-07 15:00:00,15,1,MARKUP,1,C,150.687732,150.50454757397287,151.14569306506786,0.18318442602713958,0.040904852054275215,0,1,0,0,0,1,False,-1,
1888,2025-10-07 16:00:00,16,1,MARKUP,0,C,150.717146,150.4975024602747,151.26625484931333,0.21964353972532535,0.05499507945064227,0,0,0,0,0,1,False,-1,
